Profile Summary
Generated on: 2021-12-30 03:26:26
Msec since Epoch: 1640834786063
Profiled application: 
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.0
Build version branch: 2022.1
Build version hash: 2a6dc026480914ea1c9f02977a6ab4b57e8a3c8d
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4,0.76438,0.04218,0.191095,0.49157,
clCreateCommandQueue,1,0.02917,0.02917,0.02917,0.02917,
clCreateContext,1,0.56756,0.56756,0.56756,0.56756,
clCreateKernel,1,6.39186,6.39186,6.39186,6.39186,
clCreateProgramWithBinary,13,762.388,37.9145,58.6452,197.073,
clEnqueueMapBuffer,4,0.74963,0.04109,0.187408,0.59698,
clEnqueueMigrateMemObjects,2,0.05975,0.01512,0.029875,0.04463,
clEnqueueTask,1,0.17202,0.17202,0.17202,0.17202,
clFinish,1,0.94881,0.94881,0.94881,0.94881,
clGetDeviceIDs,2,0.01228,0.00453,0.00614,0.00775,
clGetExtensionFunctionAddress,2,2.9091,0.02345,1.45455,2.88565,
clGetExtensionFunctionAddressForPlatform,2,2.83484,0.00603,1.41742,2.82881,
clGetPlatformInfo,14,0.06184,0.00385,0.00441714,0.00678,
clReleaseCommandQueue,1,0.0121,0.0121,0.0121,0.0121,
clReleaseContext,1,0.0316,0.0316,0.0316,0.0316,
clReleaseDevice,2,0.01118,0.00497,0.00559,0.00621,
clReleaseKernel,1,0.32488,0.32488,0.32488,0.32488,
clReleaseMemObject,12,0.12763,0.00467,0.0106358,0.06672,
clReleaseProgram,13,4.92613,0.05084,0.378933,4.28753,
clRetainDevice,2,0.00847,0.00371,0.004235,0.00476,
clRetainMemObject,8,0.04721,0.00456,0.00590125,0.00823,
clSetKernelArg,8,0.07229,0.00444,0.00903625,0.02776,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
ydma,1,0.78839,0.78839,0.78839,0.78839,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
187652027313984,ydma,0,0,edge-0,2101.37,0.78839,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
25186304,0,0,2101.03,0.08693,502.072,5775.59,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
25190400,0,0,2102.23,0.02908,0.952,32.7373,

Guidance Parameters
Parameter,Element,Value,
XRT_INI_SETTING,aie_trace_buffer_offload_interval_ms,10,Interval for reading of device aie trace data to host (in ms)
XRT_INI_SETTING,aie_trace_file_dump_interval_s,5,Interval for dumping aie trace files to host (in s)
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_profile_interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,aie_profile_core_metrics,,Metric set for AI Engine core modules
XRT_INI_SETTING,aie_profile_memory_metrics,,Metric set for AI Engine memory modules
XRT_INI_SETTING,aie_profile_interface_metrics,,Metric set for AI Engine interface modules
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
